pid	devicetype	brand	model	version	fccid	availability	whereavailable	supportedsincecommit	supportedsincerel	supportedcurrentrel	unsupported_functions	target	subtarget	packagearchitecture	bootloader	cpu	cpucores	cpumhz	flashmb	rammb	ethernet100mports	ethernetgbitports	switch	vlan	modem	commentsnetworkports	wlanhardware	wlan24ghz	wlan50ghz	wlancomments	wlandriver	detachableantennas	bluetooth	usbports	sataports	commentsusbsataports	videoports	audioports	phoneports	commentsavports	serial	serialconnectionparameters	jtag	ledcount	buttoncount	gpios	powersupply	devicepage	device_techdata	owrt_forum_topic_url	lede_forum_topic_url	forumsearch	gitsearch	wikideviurl	oemdevicehomepageurl	firmwareoemstockurl	firmwareopenwrtinstallurl	firmwareopenwrtupgradeurl	firmwareopenwrtsnapshotinstallurl	firmwareopenwrtsnapshotupgradeurl	installationmethods	commentinstallation	recoverymethods	commentrecovery	picture	comments
15667053	WiFi Router	Strong	1200	NULL	https://fcc.io/2AHVH/WR1201	Available 2019	amazon.de, jacob.de	https://git.openwrt.org/?p=openwrt/openwrt.git;a=commit;h=30a7ab8f61c8a5f1a4428f8c7cf9a1d6a12b096b	19.07.0	21.02.3	NULL	ramips	mt7621	mipsel_24kc	U-Boot	MediaTek MT7621A	2	880	16	128	-	5	?	Yes	-		MediaTek MT7612EN	b/g/n	a/n/ac		mt76	-	-	1x 3.0	-		-	-	-		Yes	57600 / 8N1	?	7	1	-	12 VDC, 1.5 A	toh:strong:1200	View/Edit data	http://forum.openwrt.org/t/support-for-strong-1200/22768	NULL	Strong 1200	Strong 1200	NULL	https://www.strong.tv/fr/products/broad-router/router1200		https://downloads.openwrt.org/releases/21.02.3/targets/ramips/mt7621/openwrt-21.02.3-ramips-mt7621-mtc_wr1201-initramfs-kernel.bin	https://downloads.openwrt.org/releases/21.02.3/targets/ramips/mt7621/openwrt-21.02.3-ramips-mt7621-mtc_wr1201-squashfs-sysupgrade.bin	https://downloads.openwrt.org/snapshots/targets/ramips/mt7621/openwrt-ramips-mt7621-mtc_wr1201-initramfs-kernel.bin	https://downloads.openwrt.org/snapshots/targets/ramips/mt7621/openwrt-ramips-mt7621-mtc_wr1201-squashfs-sysupgrade.bin	see git-commit	Flash first -initramfs.bin and after, -squashfs.bin	unknown		media:example:genericrouter1.png	aka "MTC WR1201"
15667054	WiFi Router	STORYLiNK	SAP-G3200U3	NULL	NULL	unknown 2018	?	https://git.lede-project.org/?p=source.git;a=commit;h=dcae3723fdde4ef48ee1336abfbd2d57a2b8cc85	17.01.0	21.02.3	NULL	ramips	mt7621	mipsel_24kc	U-Boot	MediaTek MT7621AT	2	880	8	128	-	5	MediaTek MT7530	Yes	-		MediaTek MT7612EN	b/g/n	a/n/ac	2x 2x2	mt76	-	?	1x 3.0	-		?	?	?		Yes	?	No	9	2	?	12 VDC, 2.0 A	toh:storylink:sap-g3200u3	View/Edit data	NULL	NULL	SAP-G3200U3	SAP-G3200U3	NULL	http://www.storylink.co.kr/front/php/category.php?cate_no=52	http://update.gostorylink.com/SAP-G3200/	NULL	https://downloads.openwrt.org/releases/21.02.3/targets/ramips/mt7621/openwrt-21.02.3-ramips-mt7621-storylink_sap-g3200u3-squashfs-sysupgrade.bin	NULL	https://downloads.openwrt.org/snapshots/targets/ramips/mt7621/openwrt-ramips-mt7621-storylink_sap-g3200u3-squashfs-sysupgrade.bin	U-Boot TFTP recovery		U-Boot TFTP recovery		media:example:genericrouter1.png	
15667055	Single Board Computer	SolidRun	CuBox i2	NULL	NULL	Available 2020	shop.solid-run.com	https://git.openwrt.org/?p=openwrt/openwrt.git;a=commit;h=6cda4f68619ec139be7897ea61b7f22c72c38b59	19.07.0	21.02.3	NULL	imx6	generic	arm_cortex-a9_neon	U-Boot	NXP i.MX6 Dual Lite	2	1000	microSD	1024	1	-	-	?	-		-	-	-		none	-	-	2x 2.0	-		HDMI	S/PDIF	-		?	?	?	?	?	?	5 VDC, 2.0 A		View/Edit data	NULL	NULL	CuBox i2	CuBox i2	NULL	https://www.solid-run.com/nxp-family/cubox-i/cubox-i-specifications/		https://downloads.openwrt.org/releases/21.02.3/targets/imx6/generic/	NULL	https://downloads.openwrt.org/snapshots/targets/imx6/generic/	NULL	see git-commit		SD card		media:example:genericrouter1.png	
15667056	Router	SolidRun	ClearFog Base	NULL	NULL	Available 2020	farnell.com, shop.solid-run.com	https://git.lede-project.org/?p=source.git;a=commit;h=ee1cee2cac67108194f1496c29fead90afff1763	17.01.4	21.02.3	NULL	mvebu	cortexa9	arm_cortex-a9_vfpv3	U-Boot	Marvell Armada 380	2	1600	microSD	1024	-	2	?	?	-	1xSFP	-	-	-		none	-	-	1x 3.0	1		-	-	-		Yes	?	No	?	?	?	9-32 VDC	toh:solidrun:clearfog	View/Edit data	NULL	NULL	ClearFog Base	ClearFog Base	NULL	https://wiki.solid-run.com/doku.php?id=products:a38x:clearfog	https://wiki.solid-run.com/doku.php?id=products:a38x:software	https://downloads.openwrt.org/releases/21.02.3/targets/mvebu/cortexa9/openwrt-21.02.3-mvebu-cortexa9-solidrun_clearfog-base-a1-squashfs-sdcard.img.gz	NULL	https://downloads.openwrt.org/snapshots/targets/mvebu/cortexa9/openwrt-mvebu-cortexa9-solidrun_clearfog-base-a1-squashfs-sdcard.img.gz	NULL	see devicepage		NULL		media:example:genericrouter1.png	
15667057	WiFi Router	Sitecom	WLR-8100	v1 002	http://?	Discontinued		https://git.openwrt.org/?p=openwrt/openwrt.git;a=commit;h=dfb7a4ce5d3200c5cb4b12c8a90b2fcc7d66f6bd	21.02.0	21.02.3	NULL	ath79	generic	mips_24kc	U-Boot	Qualcomm Atheros QCA9558	1	720	16	128	-	5	?	?	-		Qualcomm Atheros QCA9880-BR4A	b/g/n	a/n/ac		ath9k	-	-	1x 3.0	-		-	-	-		?	?	?	9	2	-	12 VDC, 2.0 A		View/Edit data	NULL	NULL	WLR-8100	WLR-8100	https://wikidevi.wi-cat.ru/Sitecom_WLR-8100	https://www.sitecom.com/en/ac1750-wi-fi-gigabit-router-x8/wlr-8100/p/1621	http://www.sitecomlearningcentre.com/de/products/wlr-8100v1001/wi-fi-router-x8-ac1750/downloads	https://downloads.openwrt.org/releases/21.02.3/targets/ath79/generic/openwrt-21.02.3-ath79-generic-sitecom_wlr-8100-squashfs-factory.dlf	https://downloads.openwrt.org/releases/21.02.3/targets/ath79/generic/openwrt-21.02.3-ath79-generic-sitecom_wlr-8100-squashfs-sysupgrade.bin	https://downloads.openwrt.org/snapshots/targets/ath79/generic/openwrt-ath79-generic-sitecom_wlr-8100-squashfs-factory.dlf	https://downloads.openwrt.org/snapshots/targets/ath79/generic/openwrt-ath79-generic-sitecom_wlr-8100-squashfs-sysupgrade.bin	see git-commit		see git-commit		media:example:genericrouter1.png	
15667136	WiFi Router	JCG	JHR-AC876M	NULL	NULL	unknown 2019	?	https://git.openwrt.org/?p=openwrt/openwrt.git;a=commit;h=1b7199c90c7128e3f81cc4abc6d80ab76a820b12	21.02.0	21.02.3	NULL	ramips	mt7621	mipsel_24kc	U-Boot	MediaTek MT7621AT	2	880	16	256	-	5	?	?	-		MediaTek MT7615N	b/g/n	a/n/ac		mt76	-	-	1x 3.0	-		-	-	-		?	?	?	6	2	-	12 VDC, 3.0 A	toh:jcg:jhr-ac876m	View/Edit data	NULL	NULL	JHR-AC876M	JHR-AC876M	NULL			https://downloads.openwrt.org/releases/21.02.3/targets/ramips/mt7621/openwrt-21.02.3-ramips-mt7621-jcg_jhr-ac876m-squashfs-factory.bin	https://downloads.openwrt.org/releases/21.02.3/targets/ramips/mt7621/openwrt-21.02.3-ramips-mt7621-jcg_jhr-ac876m-squashfs-sysupgrade.bin	https://downloads.openwrt.org/snapshots/targets/ramips/mt7621/openwrt-ramips-mt7621-jcg_jhr-ac876m-squashfs-factory.bin	https://downloads.openwrt.org/snapshots/targets/ramips/mt7621/openwrt-ramips-mt7621-jcg_jhr-ac876m-squashfs-sysupgrade.bin	see git-commit		U-Boot web recovery		media:example:genericrouter1.png	
15667137	WiFi Router	JCG	Q20	NULL	http://?	unknown 2021	?	https://git.openwrt.org/?p=openwrt/openwrt.git;a=commit;h=57cb387cfeee2a07902a2f1383ca471ef47265f3	21.02.0	21.02.3	NULL	ramips	mt7621	mipsel_24kc	U-Boot	MediaTek MT7621AT	2	880	128	256	-	3	?	?	-		MediaTek MT7915	?	?		mt76	?	-	-	-		-	-	-		?	?	?	1	2	-	12 VDC, 1.0 A		View/Edit data	NULL	NULL	Q20	Q20	NULL	http://?	http://?	https://downloads.openwrt.org/releases/21.02.3/targets/ramips/mt7621/openwrt-21.02.3-ramips-mt7621-jcg_q20-squashfs-factory.bin	https://downloads.openwrt.org/releases/21.02.3/targets/ramips/mt7621/openwrt-21.02.3-ramips-mt7621-jcg_q20-squashfs-sysupgrade.bin	https://downloads.openwrt.org/snapshots/targets/ramips/mt7621/openwrt-ramips-mt7621-jcg_q20-squashfs-factory.bin	https://downloads.openwrt.org/snapshots/targets/ramips/mt7621/openwrt-ramips-mt7621-jcg_q20-squashfs-sysupgrade.bin	GUI OEM		unknown		media:example:genericrouter1.png	
15667138	WiFi Router	JCG	Y2	NULL	http://?	unknown 2021	?	https://git.openwrt.org/?p=openwrt/openwrt.git;a=commit;h=82032f350991af08a918f0fcaac81ff82e836d88	21.02.0	21.02.3	NULL	ramips	mt7621	mipsel_24kc	U-Boot	MediaTek MT7621AT	2	880	16	256	-	5	?	?	-		MediaTek MT7615	b/g/n	a/n/ac		mt76	?	-	-	-		-	-	-		?	?	?	4	1	-	12 VDC, 1.0 A		View/Edit data	NULL	NULL	Y2	Y2	NULL	http://?	http://?	https://downloads.openwrt.org/releases/21.02.3/targets/ramips/mt7621/openwrt-21.02.3-ramips-mt7621-jcg_y2-squashfs-factory.bin	https://downloads.openwrt.org/releases/21.02.3/targets/ramips/mt7621/openwrt-21.02.3-ramips-mt7621-jcg_y2-squashfs-sysupgrade.bin	https://downloads.openwrt.org/snapshots/targets/ramips/mt7621/openwrt-ramips-mt7621-jcg_y2-squashfs-factory.bin	https://downloads.openwrt.org/snapshots/targets/ramips/mt7621/openwrt-ramips-mt7621-jcg_y2-squashfs-sysupgrade.bin	see git-commit		unknown		media:example:genericrouter1.png	
15667205	Single Board Computer	NixCore	X1	NULL	NULL	Available 2018	nixcores.com	https://git.lede-project.org/?p=source.git;a=commit;h=cf8c77be6becf3c5e40e19e9c4ab0d0abdfb9291	17.01.0	18.06.4	NULL	ramips	rt305x	mipsel_24kc	U-Boot	Ralink RT5350	1	360	8	32	1	-	-	?	-		Ralink RT5350	b/g/n	-		unknown	1	-	1x 2.0	-		-	-	-		Yes	115200 / 8N1	Yes	-	-	more than 20	3.6 VDC, max. 3W		View/Edit data	NULL	NULL	Nixcore	Nixcore	NULL	http://nixcores.com/products/nixcore-x1/	http://nixcores.com/products/nixcore-x1/	NULL	https://downloads.openwrt.org/releases/18.06.4/targets/ramips/rt305x/openwrt-18.06.4-ramips-rt305x-nixcore-x1-8M-squashfs-sysupgrade.bin	NULL	https://downloads.openwrt.org/snapshots/targets/ramips/rt305x/openwrt-ramips-rt305x-nixcore_x1-8m-squashfs-sysupgrade.bin	U-Boot TFTP + serial recovery		U-Boot TFTP + serial recovery		media:example:genericrouter1.png	Vendor firmware is based on OpenWrt/LEDE.
15667243	WiFi Router	T-Com / Telekom	Speedport W 723V Typ B	NULL	NULL	unknown 2018					Possible to support	lantiq	xrx200	mips_24kc	?	Lantiq XWAY VRX288 v1.1	2	500	8	64	4	-	Lantiq GSWIP (built-in SoC switch)	?	VDSL2	1x S0	Broadcom BCM43222	b/g/n	a/n		b43	-	?	1x 2.0	-		NULL	NULL	NULL		Yes	?	?			?	?	toh:t-com:spw723vtypb	View/Edit data	NULL	NULL	Speedport W 723V Typ B	Speedport W 723V Typ B	https://wikidevi.wi-cat.ru/T-Com_Speedport_W723V_Typ_B			NULL	NULL	NULL	NULL	NULL		NULL		media:example:genericrouter1.png	
