1	WiFi Router	8devices	Habanero DVK		Available 2020	21.02.3		Qualcomm IPQ4019	717	4	32, microSD	512	-	5	b/g/n	a/n/ac		Qualcomm Atheros QCA4019	-	1x 2.0, 1x 3.0	https://www.8devices.com/products/habanero			View/Edit data
2	Single Board Computer	8devices	Jalapeno		Available 2019	21.02.3		Qualcomm Atheros IPQ4018	700	4	128NAND, 8	256	-	2	b/g/n	a/n/ac		Qualcomm Atheros IPQ4018	-	1x 2.0, 1x 3.0, 1x mini-USB (power)	https://www.8devices.com/products/jalapeno			View/Edit data
3	Single Board Computer	8devices	Rambutan		Available 2019	21.02.3		Qualcomm Atheros QCA9557	720	1	128NAND	128	1	1	b/g/n	a/n		¿	-	1x 2.0	http://www.8devices.com/products/rambutan			View/Edit data
4	Single Board Computer	Abicom International	Scorpion SC300M		Available 2020	19.07.10		Qualcomm Atheros QCA9550	700	1	16	256	-	1	b/g/n	a/n		Qualcomm Atheros QCA9550	-	Yes	http://www.abicom.co.uk/products/oem-wireless-bridges/			View/Edit data
5	Single Board Computer	Abicom International	Scorpion SC450	Rev 02	Available 2020	19.07.10		Qualcomm Atheros QCA9550	700	1	16, 256NAND	256	-	1	-	a/n/ac		Qualcomm Atheros QCA9550	-	2x 2.0	http://www.abicom.co.uk/products/oem-wireless-bridges/	scorpion450		View/Edit data
6	Single Board Computer	Abicom International	Scorpion SC1750	4	Available 2020	19.07.10		Qualcomm Atheros QCA9550	700	1	16	256	-	2	-	a/n/ac		QCA9890/QCA9892	-	1x 2.0	http://www.abicom.co.uk/products/oem-wireless-bridges/			View/Edit data
7	WiFi Router	ADSLR	G7		unknown 2019	21.02.3		MediaTek MT7621AT	880	2	16	256	-	5	b/g/n	a/n/ac	4x4 MU-MIMO	MediaTek MT7615N	-	-	http://www.adslr.com/product/85.html			View/Edit data
8	WiFi AP	AirTight	C-75		unknown 2020	21.02.3	Green power LED	Qualcomm Atheros QCA9550	¿	1	32	128	-	2	b/g/n			Qualcomm Atheros QCA9550, Qualcomm Atheros QCA9890	-	1x 2.0	http://¿			View/Edit data
9	WiFi AP	ALFA Network	AP120C-AC		Available 2019	21.02.3		Qualcomm Atheros IPQ4018	717	4	128NAND, 16	256	-	2	b/g/n	a/n/ac		Qualcomm Atheros IPQ4018	-	-				View/Edit data
10	WiFi AP	ALFA Network	N2Q		unknown 2020	21.02.3		Qualcomm Atheros QCA9531	650	1	16	128	2	-	b/g/n	-		Qualcomm Atheros QCA9531	-	1x 2.0	https://www.alfa.com.tw/products_detail/328.htm			View/Edit data
11	Single Board Computer	ALFA Network	Pi-WiFi4		unknown 2020	21.02.3		Qualcomm Atheros QCA9531	650	1	16, 32, 64	128	2	-	b/g/n	-		Qualcomm Atheros QCA9531	-	1x µUSB (power), 4x 2.0	https://www.alfa.com.tw/products/pi-wifi4_pcba?variant=36473967509576			View/Edit data
